lemma,current_pos,proposed_pos,frequency,reason
taga,K,D,4784,"Both adposition 'behind X' and adverb 'behind' are valid"
ette,K,D,3443,"Both adposition 'in front of X' and adverb 'forward' are valid"
kulla,A,S,3184,"Both adjective 'golden' and noun 'gold/dear one' are valid"
otsa,K,D,2973,"Both adposition 'onto X's end' and adverb 'to the end' are valid"
enne,D,K,1557,"Both adverb 'before' and adposition 'before X' are valid"
ilma,D,K,1036,"Both adverb 'without' and adposition 'without X' are valid"
läbi,D,K,1164,"Both adverb 'through' and adposition 'through X' are valid"
viisi,K,S,917,"Both noun 'melody/tune' and adposition 'in manner of' are valid"
pai,A,S,547,"Both interjection 'pat-pat' and noun 'pat/stroke' are valid"
itkema,S,V,1138,"Mixed: some are 'itk' crying verb, some are 'iki' always adverb"
valama,A,V,654,"Mixed: some are 'vali' strict adjective, some are verb 'valama'"
lendama,S,V,607,"Mixed: some are 'linnas' city noun, some are verb 'lendama'"
kaev,V,S,547,"Mixed: some are 'kao' well noun, some are verb 'kaevama'"
kalduma,D,V,696,"Ambiguous: 'kaldu' could be verb form or derived adverb"
